n,kabupaten,kecamatan,bundle_id,bcs,tech_dom,n_dark,n_interm,interv_type,avg_sqi,pop_2026,hh_2026,demand_kw,size_kw,capex_low_usd,capex_high_usd,capex_mid_usd,exit,capex_usd,annual_kwh,annual_rev,annual_om,annual_ncf,npv_usd,irr_mean,payback_mean,lcoe_mean,per_connection,tech_mix_str
10,Seram Bagian Barat,Taniwel,106,0.7923,micro_hydro,2,8,retrofit,0.205,5950,1506,397.6,397.6,1346059,2754224,2050141,blended_finance,4274129,3204178,596841,86846,509994,925011,0.1314,8.8,0.1535,2838,micro_hydro:8; solar_biomass_hybrid:2
1,Seram Bagian Barat,Taniwel,107,1.0,solar_biomass_hybrid,0,1,retrofit,0.591,812,205,54.1,54.1,135250,246155,190702,public_good,210363,436164,81244,5259,75985,564265,0.3604,3.0,0.0594,1026,solar_biomass_hybrid:1
7,Seram Bagian Barat,Taniwel Timur,108,0.8975,micro_hydro,0,7,retrofit,0.26,4058,1110,293.0,293.0,1078799,2243903,1661352,blended_finance,3687995,2361669,439907,73759,366146,44686,0.0773,10.7,0.1839,3322,micro_hydro:7
6,Seram Bagian Barat,Taniwel Timur,109,0.8746,solar_biomass_hybrid,0,6,retrofit,0.432,3824,1049,276.9,276.9,708688,1289811,999251,blended_finance,1101999,2231914,415737,27550,388189,2855377,0.3515,3.0,0.0608,1050,solar_biomass_hybrid:6
2,Seram Bagian Timur,Bula Barat,110,0.9536,micro_hydro,0,2,retrofit,0.205,972,290,76.6,76.5,246156,512004,379080,public_good,842053,617013,114931,16841,98090,157920,0.0988,9.0,0.1612,2903,micro_hydro:2
8,Seram Bagian Timur,Bula Barat,111,0.7214,solar_battery,0,8,retrofit,0.5,6747,2053,542.0,542.1,1154750,2049515,1602132,blended_finance,2857472,4367925,813613,65443,748168,4769713,0.2693,4.2,0.0803,1391,solar_battery:5; solar_biomass_hybrid:3
6,Seram Bagian Timur,Gorom Timur,112,0.7981,solar_biomass_hybrid,0,6,retrofit,0.621,3041,847,223.6,223.6,556326,1010369,783348,blended_finance,908724,1802118,335680,22471,313209,2284274,0.3329,3.3,0.0654,1072,solar_biomass_hybrid:5; solar_battery:1
4,Seram Bagian Timur,Kian Darat,113,0.8545,solar_biomass_hybrid,1,3,retrofit,0.216,3212,843,222.6,222.6,558550,1016560,787555,blended_finance,868238,1793656,334104,21706,312398,2316494,0.3581,3.0,0.0598,1029,solar_biomass_hybrid:4
6,Seram Bagian Timur,Kilmury,114,0.9325,micro_hydro,0,6,retrofit,0.182,3516,997,263.2,263.3,854277,1776895,1315585,blended_finance,2919026,2121181,395112,58381,336730,513775,0.0975,9.0,0.1624,2927,micro_hydro:6
7,Seram Bagian Timur,Kilmury,115,0.9028,solar_biomass_hybrid,1,6,retrofit,0.195,3251,883,233.1,233.2,590129,1074035,832081,blended_finance,917174,1878681,349941,22929,327012,2416543,0.3558,3.0,0.0601,1038,solar_biomass_hybrid:7
4,Seram Bagian Timur,Pulau Gorom,116,0.858,solar_biomass_hybrid,0,4,retrofit,0.5,1331,409,108.0,107.9,271739,494564,383151,blended_finance,422793,870233,162098,10570,151529,1121957,0.3573,3.0,0.0599,1033,solar_biomass_hybrid:4
1,Seram Bagian Timur,Pulau Gorom,117,1.0,solar_biomass_hybrid,0,1,retrofit,0.227,8469,2128,561.8,561.8,1455936,2649803,2052870,public_good,2263637,4527578,843350,56591,786759,5756970,0.3467,3.0,0.0615,1063,solar_biomass_hybrid:1
2,Seram Bagian Timur,Pulau Panjang,118,0.9231,solar_biomass_hybrid,0,2,retrofit,0.523,335,103,27.2,27.2,68000,123760,95880,public_good,105694,219130,40817,2643,38175,283479,0.3604,3.0,0.0594,1026,solar_biomass_hybrid:2
3,Seram Bagian Timur,Pulau Panjang,119,0.823,solar_battery,0,3,retrofit,0.212,2422,648,171.1,171.1,359563,636675,498120,blended_finance,920150,1378768,256822,20967,235856,1484279,0.2632,4.3,0.0817,1419,solar_battery:2; solar_biomass_hybrid:1
5,Seram Bagian Timur,Seram Timur,120,0.7908,solar_battery,0,5,retrofit,0.536,2476,709,187.2,187.3,351187,608725,479956,blended_finance,1165648,1508521,280992,25644,255348,1437487,0.2146,5.0,0.0928,1644,solar_battery:5
6,Seram Bagian Timur,Seram Timur,121,0.742,solar_biomass_hybrid,0,6,retrofit,0.258,3641,1003,264.8,264.8,603748,1078861,841306,blended_finance,1345440,2134158,397529,31342,366188,2387644,0.3257,3.3,0.0669,1341,solar_biomass_hybrid:5; solar_battery:1
8,Seram Bagian Timur,Siritaun Wida Timur,122,0.8068,solar_biomass_hybrid,1,7,retrofit,0.216,5528,1566,413.4,413.5,1086877,2005128,1546003,blended_finance,1883391,3331997,620651,45308,575342,3981929,0.3193,3.8,0.0732,1202,solar_biomass_hybrid:7; micro_hydro:1
11,Seram Bagian Timur,Siwalalat,123,0.836,micro_hydro,1,10,retrofit,0.186,6359,1846,487.3,487.2,1613430,3338973,2476201,blended_finance,5394727,3927570,731586,108404,623185,958318,0.1158,9.1,0.1586,2922,micro_hydro:10; solar_biomass_hybrid:1
1,Seram Bagian Timur,Siwalalat,124,1.0,solar_biomass_hybrid,0,1,retrofit,0.182,899,261,68.9,68.9,187673,341565,264619,public_good,291808,555279,103432,7295,96136,688253,0.3283,4.0,0.0647,1118,solar_biomass_hybrid:1
3,Seram Bagian Timur,Teluk Waru,125,0.9425,micro_hydro,3,0,new_build,0.136,1987,532,140.4,140.5,452184,940542,696364,blended_finance,1545051,1131995,210856,30902,179956,289501,0.0984,9.0,0.1615,2904,micro_hydro:3
4,Seram Bagian Timur,Teluk Waru,126,0.7873,solar_biomass_hybrid,0,4,retrofit,0.205,1920,466,123.0,122.9,289625,522535,406080,blended_finance,544307,991523,184690,13079,171610,1205177,0.324,3.5,0.0678,1168,solar_biomass_hybrid:3; solar_battery:1
6,Seram Bagian Timur,Teor,127,0.8764,solar_biomass_hybrid,0,6,retrofit,0.273,2538,696,183.7,183.8,505499,920008,712754,blended_finance,785712,1480797,275828,19643,256184,1825960,0.3283,3.5,0.0648,1128,solar_biomass_hybrid:6
2,Seram Bagian Timur,Tutuk Tolu,128,0.9203,solar_biomass_hybrid,0,2,retrofit,0.455,1377,396,104.5,104.5,268179,488086,378133,public_good,417135,842589,156949,10429,146521,1076566,0.3505,3.0,0.0609,1053,solar_biomass_hybrid:2
8,Seram Bagian Timur,Tutuk Tolu,129,0.8652,solar_biomass_hybrid,0,8,retrofit,0.193,6767,1906,503.2,503.2,1302291,2405487,1853890,blended_finance,2277609,4055388,755397,54621,700776,4866434,0.3239,3.8,0.0725,1194,solar_biomass_hybrid:7; micro_hydro:1
2,Seram Bagian Timur,Wakate,130,0.9391,solar_biomass_hybrid,0,2,retrofit,0.591,1862,520,137.3,137.3,372399,677767,525082,public_good,578918,1106367,206082,14473,191609,1374443,0.3304,3.5,0.0643,1113,solar_biomass_hybrid:2
9,Seram Bagian Timur,Wakate,131,0.8669,solar_biomass_hybrid,1,8,retrofit,0.258,4991,1463,386.2,386.1,1052012,1914661,1483334,blended_finance,1636201,3112786,579817,40906,538912,3857733,0.3285,3.7,0.0647,1118,solar_biomass_hybrid:9
7,Seram Bagian Timur,Werinama,132,0.7428,solar_biomass_hybrid,6,1,new_build,0.136,3862,1192,314.7,314.7,897244,1735958,1316600,blended_finance,2132826,2536068,472392,46553,425840,2208392,0.2422,5.7,0.1051,1789,solar_biomass_hybrid:4; micro_hydro:3
1,Seram Bagian Timur,Werinama,133,1.0,micro_hydro,1,0,new_build,0.136,2344,751,198.3,198.3,658919,1370552,1014736,public_good,2251865,1597817,297625,45037,252587,323134,0.0933,9.0,0.1664,2998,micro_hydro:1
