kode_desa,name,kecamatan,kabupaten,l1_class,tech,pop_2017,hh_2017,pop_2026,hh_2026,growth_pct,density,lit_fraction,demand_kw,size_kw,capex_low_usd,capex_high_usd,capex_mid_usd,dist_grid_m,hydro_kw,wind50,feedstock,slope_deg
81.05.14.2008,Keta,Siritaun Wida Timur,Seram Bagian Timur,intermittent,solar_biomass_hybrid,363,108,421,125,1.6666666666666667,65.88419405320815,0.3636363636363636,33.0,132.0,330724.0,601918.0,466321.0,16053.67504654308,0.3702697644123335,3.582030023727613,0.9962705246295556,5.219513387207295
81.05.14.2009,Air Nanang,Siritaun Wida Timur,Seram Bagian Timur,intermittent,solar_biomass_hybrid,637,180,697,197,1.0,56.620633631194146,0.2727272727272727,52.007999999999996,208.0,521848.0,949764.0,735806.0,10249.931304647853,3.6559008250437097,3.582030023727613,0.8185746600772046,5.355402818994459
81.05.15.2002,Bellis,Teluk Waru,Seram Bagian Timur,dark_settled,micro_hydro,679,180,788,209,1.6666666666666667,20.47285009093271,0.1363636363636363,55.176,122.6,388235.0,807529.0,597882.0,27605.48938164292,30.781131002230875,1.5464069461916732,0.9707786765366304,6.333751715153472
81.05.15.2003,Dawang,Teluk Waru,Seram Bagian Timur,dark_settled,micro_hydro,597,168,673,189,1.3333333333333333,3.124709815210326,0.1363636363636363,49.895999999999994,110.9,359049.0,746823.0,552936.0,8823.346463360713,39.56857823909773,1.6906125440906326,0.9780657269819248,8.603047432724932
81.05.15.2004,Solang,Teluk Waru,Seram Bagian Timur,dark_settled,micro_hydro,427,109,526,134,2.3333333333333335,13.039167079821516,0.1363636363636363,35.376,78.6,257175.0,534924.0,396050.0,18663.26080791819,41.806255129515975,1.3932318315159222,0.9913393120578567,9.70225216918585
81.05.15.2005,Karay,Teluk Waru,Seram Bagian Timur,intermittent,solar_biomass_hybrid,787,184,887,207,1.3333333333333333,17.57827982560444,0.1818181818181818,54.648,218.6,546500.0,994630.0,770565.0,32759.132940534684,13.189573944571023,2.098324192757941,0.8570184975405041,2.9418079156139543
81.05.15.2007,Nama Andan,Teluk Waru,Seram Bagian Timur,intermittent,solar_battery,376,95,424,107,1.3333333333333333,22.17573221757322,0.1818181818181818,28.247999999999998,156.9,294188.0,509925.0,402056.0,32272.77398040994,0.611729684966179,,0.3419582526361089,2.499668799359396
81.05.15.2009,Kampung Baru,Teluk Waru,Seram Bagian Timur,intermittent,solar_biomass_hybrid,286,69,313,75,1.0,3.400325909831613,0.1818181818181818,19.8,79.2,198000.0,360360.0,279180.0,22909.34610419676,13.885415739111576,1.7825586955956496,0.9397707706489036,2.708561315923729
81.05.15.2010,Boinfia,Teluk Waru,Seram Bagian Timur,intermittent,solar_biomass_hybrid,220,57,296,77,3.3333333333333335,4.270668013273697,0.2727272727272727,20.328000000000003,81.3,203250.0,369915.0,286582.0,26290.017514971343,13.568675703405257,1.5647037831988375,0.993160432758073,2.6795605303559875
81.06.03.2001,Murnaten,Taniwel,Seram Bagian Barat,intermittent,micro_hydro,2055,471,2385,547,1.6666666666666667,22.495755517826826,0.1818181818181818,144.40800000000002,320.9,1097283.0,2282348.0,1689816.0,14024.067087956331,38.8251589168494,1.5209015470792353,0.9925456867347582,14.420543602856466
