kode_desa,month,radiance
81.01.02.2005,2026-04,0.919148922115751
81.01.02.2005,2026-05,
81.01.02.2005,2026-06,
81.01.02.2006,2024-07,0.4665939118993711
81.01.02.2006,2024-08,0.5411128114268775
81.01.02.2006,2024-09,0.5223455265819421
81.01.02.2006,2024-10,0.3963572094981354
81.01.02.2006,2024-11,0.5275561046021336
81.01.02.2006,2024-12,0.3697325580401527
81.01.02.2006,2025-01,0.20458039404097758
81.01.02.2006,2025-02,0.0
81.01.02.2006,2025-03,0.29641254317694504
81.01.02.2006,2025-04,0.4717430037432292
81.01.02.2006,2025-05,0.24034736797218142
81.01.02.2006,2025-06,0.0
81.01.02.2006,2025-07,0.29577005734049355
81.01.02.2006,2025-08,0.2956901365931753
81.01.02.2006,2025-09,0.4128496756177663
81.01.02.2006,2025-10,0.42594527970121127
81.01.02.2006,2025-11,0.4253427591959294
81.01.02.2006,2025-12,0.838247783433977
81.01.02.2006,2026-01,0.32185059840010205
81.01.02.2006,2026-02,0.0
81.01.02.2006,2026-03,0.0
81.01.02.2006,2026-04,0.8901936618265944
81.01.02.2006,2026-05,
81.01.02.2006,2026-06,
81.01.02.2007,2024-07,0.6315441217328258
81.01.02.2007,2024-08,0.6435569883598126
81.01.02.2007,2024-09,0.5317187398562538
81.01.02.2007,2024-10,0.6040716767037179
81.01.02.2007,2024-11,0.6462040313190835
81.01.02.2007,2024-12,0.6085110207307428
81.01.02.2007,2025-01,0.7020680337651252
81.01.02.2007,2025-02,0.0
81.01.02.2007,2025-03,0.5091452156467473
81.01.02.2007,2025-04,0.694898890440955
81.01.02.2007,2025-05,0.22345588427475274
81.01.02.2007,2025-06,0.0
81.01.02.2007,2025-07,0.4856433752540719
81.01.02.2007,2025-08,0.3828124975073426
81.01.02.2007,2025-09,0.6147150763529627
81.01.02.2007,2025-10,0.6378492642577519
81.01.02.2007,2025-11,0.592068015926463
81.01.02.2007,2025-12,1.95590989291668
81.01.02.2007,2026-01,0.0
81.01.02.2007,2026-02,0.0
81.01.02.2007,2026-03,0.0
